,Symbol,Name
0,AAPL,Apple
1,MSFT,Microsoft
2,GOOG,Alphabet
3,GOOGL,Alphabet
4,V,Visa
5,AMZN,Amazon.com
6,VZ,Verizon
7,SA,Seabridge
8,NVDA,NVIDIA
9,MBINO,Merchants
10,BRK/A,Berkshire
11,BRK/B,Berkshire
12,MBINP,Merchants
13,META,Meta
14,TSLA,Tesla
15,MBINN,Merchants
16,TSM,Taiwan
17,UNH,UnitedHealth
18,XOM,Exxon
19,LLY,Eli
20,JPM,JP
21,JNJ,Johnson
22,WMT,Walmart
23,NVO,Novo
24,MA,Mastercard
25,PG,Procter
26,AVGO,Broadcom
27,ASML,ASML
28,HD,Home
29,CVX,Chevron
30,ORCL,Oracle
31,MRK,Merck
32,KO,Coca-Cola
33,TECK,Teck
34,PEP,PepsiCo
35,ABBV,AbbVie
36,COST,Costco
37,BAC,Bank
38,BABA,Alibaba
39,PFE,Pfizer
40,CRM,Salesforce
41,MCD,McDonald's
42,NVS,Novartis
43,CSCO,Cisco
44,ACN,Accenture
45,TMO,Thermo
46,ADBE,Adobe
47,SHEL,Royal
48,AMD,Advanced
49,TM,Toyota
50,FMX,Fomento
51,NFLX,Netflix
52,ABT,Abbott
53,LIN,Linde
54,DHR,Danaher
55,TMUS,T-Mobile
56,CMCSA,Comcast
57,DIS,Walt
58,NKE,Nike
59,TXN,Texas
60,SAP,SAP
61,WFC,Wells
62,HSBC,HSBC
63,NEE,NextEra
64,GE,General
65,GSK,GSK
66,UPS,United
67,BHP,BHP
68,TTE,TotalEnergies
69,PM,Philip
70,RTX,Raytheon
71,MS,Morgan
72,BMY,Bristol-Myers
73,UL,Unilever
74,HON,Honeywell
75,INTC,Intel
76,QCOM,QUALCOMM
77,SNY,Sanofi
78,BA,Boeing
79,RY,Royal
80,SONY,Sony
81,LOW,Lowe's
82,AXP,American
83,COP,ConocoPhillips
84,HDB,HDFC
85,UNP,Union
86,SPGI,S&P
87,INTU,Intuit
88,IBM,International
89,AMGN,Amgen
90,LMT,Lockheed
91,AMAT,Applied
92,T,AT&T
93,PLD,Prologis
94,AZN,AstraZeneca
95,SBUX,Starbucks
96,NOW,ServiceNow
97,MDT,Medtronic
98,ELV,Elevance
99,ISRG,Intuitive
100,CAT,Caterpillar
